O,D,DIFF
711,975,-53
711,985,-192
712,708,-400
712,713,-462
712,722,-62
712,961,-70
712,963,-57
712,964,-55
712,966,-76
713,77,-62
713,424,-63
713,425,-99
713,426,-77
713,427,-96
713,430,-61
713,432,-52
713,435,-101
713,436,-104
713,437,-67
713,439,-87
713,440,-83
713,441,-264
713,687,-53
713,688,-85
713,697,-193
713,698,-97
713,699,-97
713,700,-110
713,701,-80
713,702,-92
713,703,-50
713,704,-217
713,706,-53
713,709,-1113
713,710,-600
713,711,-249
713,712,-461
713,717,-93
713,721,-54
713,723,-241
713,726,-313
713,727,-489
713,728,-61
714,966,-54
714,985,-80
715,985,-86
717,708,-103
717,713,-94
717,722,-130
717,728,-89
717,961,-160
717,962,-108
717,963,-119
717,964,-141
717,966,-160
717,969,-97
717,970,-51
717,971,-84
717,985,-128
718,966,-57
720,722,-88
720,728,-56
720,961,-101
720,962,-61
720,963,-69
720,964,-78
720,966,-120
720,969,-57
720,985,-70
721,708,-66
721,713,-54
721,722,-759
721,728,-184
721,961,-402
721,962,-222
721,963,-234
721,964,-241
721,966,-408
721,969,-214
721,970,-97
721,971,-146
721,975,-62
721,985,-234
722,77,-55
722,423,-53
722,439,-105
722,687,-60
722,688,-63
722,701,-75
722,703,-58
722,704,-105
722,706,-70
722,707,-55
722,709,-54
722,711,-172
722,712,-62
722,717,-130
722,720,-88
722,721,-753
722,723,-234
722,724,-83
722,725,-118
722,728,-53
722,961,-475
722,962,-222
722,963,-261
722,964,-236
722,966,-1693
722,967,-61
722,968,-69
722,969,-243
722,970,-123
722,971,-199
722,972,-81
722,974,-105
722,975,-86
722,976,-76
722,979,-118
722,980,-68
722,982,-75
722,983,-84
722,984,-82
722,985,-294
723,708,-261
723,713,-242
723,722,-235
723,728,-189
723,961,-322
723,962,-240
723,963,-240
723,964,-322
723,966,-280
723,969,-234
723,970,-99
723,971,-185
723,975,-78
723,985,-278
724,722,-83
724,728,-419
724,961,-88
724,962,-169
724,963,-59
724,964,-55
724,966,-124
724,985,-50
725,722,-118
725,728,-58
725,961,-157
725,962,-81
725,963,-107
725,964,-111
725,966,-165
725,969,-99
725,971,-82
725,985,-113
726,708,-185
726,713,-311
726,728,-467
726,961,-99
726,962,-151
726,963,-64
727,708,-291
727,713,-487
727,728,-92
728,77,-55
728,701,-54
728,704,-57
728,709,-79
728,711,-139
728,713,-61
728,717,-88
728,720,-55
728,721,-182
728,722,-53
728,723,-187
728,724,-417
728,725,-58
728,726,-468
728,727,-92
728,961,-325
728,962,-563
728,963,-185
728,964,-121
728,966,-106
729,730,-723
729,731,-101
729,732,-68
729,733,-99
729,734,-135
729,735,-96
729,736,-227
729,737,-156
729,738,-337
729,739,-72
730,328,-63
730,449,-67
730,453,-73
730,457,-84
730,458,-112
730,459,-136
730,460,-124
730,461,-259
730,462,-92
730,463,-261
730,464,-377
730,465,-117
730,466,-149
730,467,-52
730,472,-92
730,476,-218
730,480,-67
730,481,-157
730,483,-71
730,484,-90
730,485,-50
730,486,-95
730,487,-132
730,488,-65
730,489,-53
730,729,-719
730,731,-312
730,732,-318
730,733,-323
730,734,-964
730,735,-281
730,736,-3134
730,737,-342
730,738,-498
730,739,-94
730,740,-51
731,464,-62
731,729,-100
731,730,-313
731,736,-460
731,738,-66
732,729,-68
732,730,-320
732,736,-478
732,738,-56
733,464,-58
733,729,-99
733,730,-323
733,736,-478
733,738,-68
734,464,-67
734,729,-136
734,730,-972
734,736,-1422
734,738,-117
735,464,-56
735,729,-95
735,730,-282
735,736,-413
735,738,-58
736,77,-64
736,459,-55
736,460,-53
736,461,-109
736,463,-109
736,464,-138
736,466,-70
736,476,-92
736,481,-59
736,487,-52
736,729,-226
736,730,-3132
736,731,-459
736,732,-476
736,733,-477
736,734,-1412
736,735,-412
736,737,-559
736,738,-171
737,461,-75
737,463,-74
737,464,-95
737,729,-156
737,730,-342
737,736,-559
737,738,-108
738,459,-55
738,460,-56
738,461,-99
738,462,-52
738,463,-96
738,464,-150
738,465,-120
738,466,-485
738,476,-72
738,490,-56
738,729,-337
738,730,-500
738,731,-66
738,732,-56
738,733,-69
738,734,-116
738,735,-59
738,736,-172
738,737,-108
738,739,-723
738,740,-365
738,741,-132
738,743,-97
739,77,-64
739,458,-59
739,459,-75
739,460,-56
739,461,-112
739,462,-73
739,463,-170
739,464,-142
739,465,-242
739,466,-1114
739,472,-52
739,476,-89
739,481,-69
739,484,-82
739,487,-63
739,488,-66
739,489,-89
739,490,-270
739,491,-89
739,729,-72
739,730,-94
739,738,-721
739,740,-2738
739,741,-3019
739,742,-251
739,743,-1523
739,744,-159
739,745,-203
739,746,-125
739,747,-70
739,749,-76
739,750,-75
739,751,-65
739,752,-89
739,753,-51
739,754,-58
739,755,-58
740,730,-51
740,738,-363
740,739,-2737
740,741,-313
740,743,-442
740,744,-57
741,466,-159
741,490,-72
741,738,-131
741,739,-3013
741,740,-313
741,742,-94
741,743,-3860
741,744,-497
741,745,-500
741,746,-329
741,747,-151
741,749,-71
741,751,-124
741,752,-176
741,753,-68
741,754,-71
741,755,-87
741,756,-51
742,739,-251
742,741,-94
742,743,-117
742,744,-66
743,77,-51
743,466,-122
743,490,-104
743,738,-97
743,739,-1518
743,740,-441
743,741,-3854
743,742,-117
743,744,-731
743,745,-1043
743,746,-768
743,747,-285
743,748,-87
743,749,-114
743,751,-213
743,752,-356
743,753,-108
743,754,-95
743,755,-129
743,756,-74
743,775,-64
744,739,-159
744,740,-57
744,741,-496
744,742,-66
744,743,-730
744,745,-878
744,746,-633
744,747,-214
744,748,-58
744,749,-67
744,751,-161
744,752,-283
744,753,-88
744,754,-74
744,755,-104
744,756,-52
745,739,-203
745,741,-502
745,743,-1048
745,744,-884
746,739,-125
746,741,-330
746,743,-772
746,744,-636
747,739,-70
747,741,-151
747,743,-285
747,744,-214
748,743,-87
748,744,-58
749,739,-76
749,741,-71
749,743,-114
749,744,-67
750,739,-75
751,739,-65
751,741,-123
751,743,-212
751,744,-161
752,739,-88
752,741,-176
752,743,-356
752,744,-284
753,739,-51
753,741,-68
753,743,-108
753,744,-88
754,739,-58
754,741,-70
754,743,-95
754,744,-74
755,739,-58
755,741,-87
755,743,-129
755,744,-104
756,741,-51
756,743,-73
756,744,-52
775,743,-64
933,953,-61
934,953,-56
938,985,-101
939,953,-104
941,953,-454
942,953,-157
947,953,-77
949,953,-307
950,953,-135
951,953,-134
952,953,-83
953,933,-61
953,934,-55
953,939,-103
953,941,-451
953,942,-157
953,947,-77
953,949,-305
953,950,-135
953,951,-135
953,952,-84
953,954,-196
953,955,-216
953,956,-282
953,957,-110
953,958,-76
953,960,-92
953,977,-52
954,953,-197
955,953,-217
956,953,-282
957,953,-110
958,953,-76
960,953,-92
961,77,-55
961,178,-61
961,422,-58
961,423,-94
961,425,-86
961,427,-75
961,432,-52
961,435,-57
961,436,-56
961,439,-145
961,686,-52
961,687,-77
961,688,-82
961,693,-53
961,694,-54
961,696,-58
961,701,-113
961,703,-80
961,704,-124
961,706,-80
961,707,-68
961,709,-60
961,711,-237
961,712,-70
961,717,-159
961,720,-101
961,721,-398
961,722,-474
961,723,-320
961,724,-88
961,725,-157
961,726,-100
961,728,-326
961,964,-331
961,967,-52
961,968,-60
961,970,-118
961,972,-72
961,974,-117
961,975,-81
961,976,-103
961,979,-120
961,980,-66
961,982,-119
961,983,-91
961,984,-114
961,985,-264
962,701,-72
962,704,-80
962,711,-173
962,717,-107
962,720,-61
962,721,-220
962,722,-221
962,723,-238
962,724,-168
962,725,-81
962,726,-151
962,728,-561
962,964,-316
962,970,-143
962,974,-56
962,976,-70
962,979,-53
962,982,-98
962,983,-55
962,985,-77
963,439,-94
963,701,-97
963,703,-67
963,704,-110
963,706,-68
963,707,-53
963,711,-173
963,712,-57
963,717,-119
963,720,-69
963,721,-232
963,722,-260
963,723,-238
963,724,-59
963,725,-107
963,726,-64
963,728,-185
963,964,-739
963,970,-414
963,972,-55
963,974,-83
963,975,-59
963,976,-89
963,979,-98
963,980,-54
963,982,-101
963,983,-98
963,984,-73
963,985,-190
964,701,-103
964,703,-69
964,704,-102
964,707,-56
964,711,-226
964,712,-54
964,717,-140
964,720,-77
964,721,-239
964,722,-234
964,723,-320
964,724,-54
964,725,-110
964,728,-120
964,961,-329
964,962,-316
964,963,-734
964,966,-486
964,969,-81
964,970,-147
964,971,-85
964,974,-55
964,976,-70
964,982,-98
964,983,-53
964,985,-70
965,966,-64
965,969,-66
965,971,-167
965,975,-126
965,982,-143
965,985,-363
966,77,-52
966,178,-50
966,423,-83
966,425,-68
966,427,-63
966,439,-115
966,687,-70
966,688,-71
966,693,-51
966,696,-51
966,701,-95
966,703,-72
966,704,-120
966,706,-79
966,707,-72
966,709,-59
966,711,-209
966,712,-76
966,714,-55
966,717,-160
966,718,-57
966,720,-120
966,721,-406
966,722,-1697
966,723,-279
966,724,-124
966,725,-165
966,728,-107
966,964,-490
966,965,-64
966,967,-90
966,968,-105
966,970,-229
966,972,-131
966,974,-182
966,975,-147
966,976,-119
966,979,-184
966,980,-107
966,981,-53
966,982,-96
966,983,-96
966,984,-145
966,985,-485
967,722,-61
967,961,-51
967,966,-90
967,969,-87
967,971,-215
967,975,-153
967,982,-237
967,985,-406
968,722,-69
968,961,-59
968,966,-105
968,969,-107
968,970,-60
968,971,-306
968,975,-202
968,982,-278
968,985,-629
969,423,-72
969,439,-124
969,687,-64
969,688,-65
969,701,-79
969,703,-55
969,704,-93
969,706,-53
969,711,-156
969,717,-97
969,720,-57
969,721,-212
969,722,-242
969,723,-232
969,725,-99
969,964,-81
969,965,-66
969,967,-87
969,968,-107
969,970,-288
969,972,-123
969,974,-263
969,975,-191
969,976,-252
969,979,-211
969,980,-139
969,981,-90
969,982,-266
969,983,-163
969,984,-212
969,985,-572
970,711,-72
970,717,-50
970,721,-96
970,722,-123
970,723,-98
970,961,-118
970,962,-144
970,963,-415
970,964,-148
970,966,-227
970,968,-61
970,969,-288
970,971,-211
970,972,-71
970,974,-113
970,975,-82
970,976,-109
970,979,-111
970,980,-67
970,982,-116
970,983,-83
970,984,-120
970,985,-246
971,439,-90
971,685,-52
971,701,-67
971,704,-83
971,711,-126
971,717,-84
971,721,-146
971,722,-199
971,723,-184
971,725,-82
971,964,-86
971,965,-168
971,967,-216
971,968,-306
971,970,-211
971,972,-287
971,974,-614
971,975,-521
971,976,-541
971,979,-413
971,980,-356
971,981,-183
971,982,-529
971,983,-346
971,984,-458
971,985,-1236
971,986,-70
972,722,-81
972,961,-72
972,963,-55
972,966,-130
972,969,-123
972,970,-71
